6.1,324,21.3,-0.3,26.1,4.7,0.049,0.003,0.002,0.001,0.06,938.8
7.5,325,21.7,-0.3,23.1,4.5,0.048,0.003,0.002,0.001,0.07,1045.166667
7.6,330,21.9,-0.2,21.3,4.7,0.049,0.003,0.002,0.001,0.08,1022.8
7.2,336,21.9,-0.3,21.2,4.2,0.048,0.003,0.002,0.001,0.06,995.3728814
6.3,345,21.6,-0.3,16.3,3.7,0.049,0.003,0.002,0,0.07,966.5666667
4.9,358,21.1,-0.4,14.8,3.6,0.051,0.003,0.003,0,0.08,796.3333333
1.3,64,19.1,-0.4,15.4,4.6,0.038,0.015,0.014,0.001,0.19,746.2833333
0.8,89,16.1,-0.5,25.5,6.3,0.018,0.03,0.028,0.001,0.32,820.6666667
1.6,36,15.4,-0.5,18.9,4,0.036,0.013,0.013,0,0.17,902.75
1.1,12,14.9,-0.5,17,3.1,0.043,0.006,0.006,0,0.12,944.1666667
1.8,23,13.3,-0.5,21.8,3.9,0.035,0.01,0.009,0,0.15,927.8644068
2.2,163,12.3,-0.4,29.7,5.5,0.022,0.02,0.019,0,0.21,944.2833333
0.9,108,10.8,-0.4,39.4,5.6,0.019,0.02,0.019,0,0.16,765.6666667
0.7,74,9.5,-0.4,46.6,8.2,0.014,0.017,0.016,0,0.16,573.6333333
1,144,9.3,-0.4,48.2,15,0.014,0.018,0.017,0,0.14,729.7166667
1.1,185,8.9,-0.5,48.5,6.9,0.014,0.018,0.017,0.001,0.13,563.35
1.6,116,8.4,42.6,50.2,6.5,0.013,0.02,0.019,0.001,0.15,454.4833333
1.9,141,8.1,-0.4,50.1,6.9,0.011,0.027,0.023,0.004,0.25,510.6666667
1.3,139,7.9,-0.5,51.7,8.7,0.004,0.047,0.029,0.018,0.56,621.8833333
1.2,296,10.6,-0.3,44,11.8,0.009,0.052,0.029,0.023,0.57,717.8
1.5,328,14.1,-0.3,34.6,16.5,0.017,0.049,0.028,0.021,0.51,786.6166667
1.8,257,17.4,-0.4,22.7,5.7,0.04,0.015,0.01,0.004,0.18,818.7166667
3.7,317,18.5,-0.4,20.9,8.5,0.037,0.025,0.017,0.008,0.23,814.7166667
4.6,309,19.3,0.2,21.8,13.4,0.043,0.021,0.015,0.006,0.2,827.1355932
6.1,304,19.9,0.3,20,16.6,0.052,0.009,0.007,0.002,0.12,868.0655738
7,305,20.9,0,17.9,13.7,0.054,0.006,0.005,0.001,0.11,1003.95
7.3,320,21.7,-0.2,17,9.1,0.057,0.005,0.004,0.001,0.1,1020.813559
6.6,323,21.7,-0.4,18.5,6.1,0.058,0.004,0.003,0.001,0.08,1003.3
6.2,330,21.3,-0.5,18.6,4.4,0.056,0.003,0.003,0,0.07,738.2833333
5.1,321,20.9,-0.4,20.8,5.6,0.053,0.005,0.004,0,0.07,746.2333333
2.1,347,18.9,-0.4,22.4,8,0.043,0.01,0.01,0,0.15,715.25
1.3,98,15.8,-0.4,33.4,13.2,0.02,0.031,0.029,0.002,0.3,704.25
0.8,103,13.9,-0.5,31.1,6.4,0.028,0.019,0.018,0.001,0.2,730.25
1.7,97,13.3,-0.5,27,4.5,0.038,0.011,0.011,0,0.12,1274.881356
1.8,90,12.9,-0.6,26.6,4.1,0.041,0.007,0.007,0,0.09,892.85
0.6,67,11.8,-0.6,30.3,4.2,0.037,0.006,0.006,0,0.08,793.5166667
0.8,160,11.2,-0.6,33.3,4.3,0.032,0.009,0.009,0.001,0.1,774.95
0.7,162,10.7,-0.6,33.5,3.8,0.035,0.007,0.006,0,0.12,643.2166667
2.2,157,10.1,-0.6,36.1,4.4,0.03,0.012,0.012,0,0.08,855.45
1.2,152,9.6,-0.6,39.1,4.8,0.025,0.014,0.013,0,0.11,744.0166667
1.4,132,9.4,-0.6,39,4.7,0.173,0.017,0.015,0.001,0.17,627.15
1.6,146,9.2,-0.6,40,5.5,0.018,0.028,0.023,0.005,0.32,596.65
1.9,155,8.9,-0.4,43.1,10.3,0.003,0.069,0.04,0.028,0.7,623.95
2.2,170,11.4,-0.3,35.9,10.6,0.01,0.069,0.037,0.032,0.7,683
