1198,25.28,508,0.333,4.123,3.246,39.98
1207,25.16,522,0.661,6.054,3.929,40.42
1199,25.27,510,0.596,4.526,2.965,40.19
1202,25.18,514,0.474,3.421,2.316,40.34
1196,25.26,511,0.875,4.268,3.179,40.35
1199,25.46,516,2.298,11.737,7.579,40.1
1195,25.27,509,0.661,5.214,3.821,40.07
1188,25.5,494,1.86,9.474,5.439,39.33
1200,25.79,504,1.571,9.304,5.839,39.54
1187,25.4,491,1.772,7.509,3.982,39.48
1186,25.5,489,1.263,5,3.561,39.32
1184,25.61,482,1.375,5.661,3.786,39.17
1180,25.51,480,0.804,6.232,3.411,39.18
1179,25.52,471,0.842,5.421,3.018,38.83
1181,25.52,469,0.702,5.333,3.088,38.79
1192,25.51,481,0.536,4.732,2.571,39.1
1188,25.52,483,0.509,5.684,2.825,38.96
1192,25.72,483,1.464,5.536,4.25,38.81
1199,25.61,492,1.912,5.807,4.491,39.22
1201,25.82,498,1.571,6.286,4.089,39.01
1185,25.94,477,1.107,6.607,4.143,38.4
1189,26.04,477,0.947,7,3.404,38.37
1182,26.25,471,0.946,5.536,4.054,38.16
1190,26.14,478,1,6.456,3.684,38.44
1182,25.84,473,0.679,3.821,2.643,38.42
1183,25.94,470,0.86,5.053,2.404,38.34
1191,25.94,479,0.643,4.339,2.232,38.52
1181,25.84,465,0.825,5.456,2.86,38.3
1182,25.85,465,0.643,3.536,2.339,38.26
1186,26.04,467,0.088,2.246,1.281,38.34
1175,25.87,456,0.456,4.053,2.158,38.03
1175,26.06,451,0.607,2.982,1.536,37.85
1179,26.27,452,1.175,4.246,3.439,37.79
1180,26.35,456,1.143,4.304,2.464,37.91
1174,26.27,447,1.474,5.386,3.281,37.56
1174,26.38,445,1.179,5.821,4.304,37.47
1173,26.68,441,1.321,4.768,3.625,37.17
1178,27.06,448,0.737,5.86,3.947,37.29
1191,26.86,464,1.143,5.571,3.625,37.5
1183,26.56,457,0.702,3.263,2.158,37.59
1183,26.56,457,0.625,3.357,1.893,37.56
1181,26.56,455,0.246,1.263,1.053,37.66
1176,26.68,446,0.679,3.893,2.464,37.15
1186,26.87,455,1.158,6,3.947,37.25
1187,26.65,458,1.357,3.357,2.446,37.55
1190,26.56,465,0.491,2.123,1.421,37.78
1199,26.54,478,0.214,5.661,1.75,38.03
1195,26.53,480,0.912,6.509,2.351,38.06
1212,27.22,508,1,5.375,3.661,38.03
1199,26.84,486,1.596,5.772,4.596,37.93
1198,26.74,485,1,6.518,3.179,37.94
1204,27.13,488,0.719,5.579,3.228,37.81
1197,26.74,481,0.579,5.439,3.123,37.86
1198,26.63,482,0.842,4.912,2.649,38.04
1195,26.54,479,0.214,3.071,1.143,37.98
1192,26.74,475,1.298,3.947,2.895,37.84
1197,26.74,476,0.786,2.839,2.089,37.91
1197,26.74,479,0.895,3.667,2.404,37.86
1190,26.75,472,0.893,4.071,2.732,37.74
1188,26.85,467,0.667,5.105,1.982,37.6
1187,26.96,460,0.607,6.161,3.143,37.44
1198,26.96,475,0.509,3.737,2.509,37.51
1195,26.95,475,0.446,3.821,2,37.67
1195,27.04,473,0.386,5.509,2.649,37.67
1199,26.95,476,1,4.607,2.893,37.64
1192,27.43,474,0.772,3.439,2.877,37.57
1187,27.46,461,1.232,5.071,3.089,37.15
1188,27.26,462,1,3.316,1.737,37.2
1191,27.36,460,0.877,4.649,3.281,37.17
1190,27.57,463,1.316,7.175,3.684,36.78
1191,27.36,463,1.429,7.232,4.179,37.05
1192,27.26,462,0.105,5.614,3.684,37.21
1202,27.25,478,0.786,3.768,2.482,37.36
1210,27.24,492,0.737,4.772,3,37.67
1198,27.14,482,0.446,3.911,3.125,37.6
1203,27.33,485,0.93,4.719,3.544,37.59
1200,27.43,481,0.875,4.107,2.857,37.55
1190,27.35,466,1.018,5.93,3.211,37.36
1206,27.45,487,1.196,4.714,2.893,37.47
1191,27.25,475,0.509,2.14,1.684,37.49
