32.1,30.7,814.7,969,1.2984
30.8,30.7,814.7,969,1.2986
30.1,30.7,814.3,971,1.2985
29.5,30.7,814.3,971,1.2986
29,30.7,814.5,974,1.2985
28.6,30.7,814.5,974,1.2986
28,30.7,814.6,983,1.2986
26.9,30.7,814.6,983,1.2987
25.8,30.7,814.7,992,1.2986
24.9,30.7,814.7,992,1.2987
24.6,30.7,814.4,1000,1.2986
24.8,30.7,814.4,1000,1.2987
24.6,30.7,814.6,1009,1.2986
24.6,30.7,814.6,1009,1.2988
24.7,30.7,814.8,1011,1.2987
24.5,30.7,814.8,1011,1.2988
24.7,30.7,814.7,1011,1.2987
25.1,30.7,814.7,1011,1.2988
25.5,30.7,814.3,1012,1.2987
25.8,30.7,814.3,1012,1.2988
26,30.7,814.5,1010,1.2988
26.2,30.7,814.5,1010,1.2989
26.2,30.7,814.3,1012,1.2988
26.1,30.7,814.3,1012,1.2989
26.2,30.7,813.6,1009,1.2988
26.2,30.7,813.6,1009,1.2989
25.7,30.7,813.5,1013,1.2988
25.4,30.7,813.5,1013,1.2989
25.7,30.7,813.5,1016,1.2988
26.3,30.7,813.5,1016,1.2989
26.9,30.7,813.5,1014,1.2988
27,30.7,813.5,1014,1.2989
26.8,30.7,813.5,1015,1.2988
26.4,30.7,813.5,1015,1.299
26,30.7,812.3,1017,1.2989
25.9,30.7,812.3,1017,1.299
26.2,30.7,812.1,1017,1.2989
26.4,30.7,812.1,1017,1.299
26.2,30.7,812.3,1017,1.2988
25.9,30.7,812.3,1017,1.299
26,30.7,812.5,1017,1.2988
26.8,30.7,812.5,1017,1.299
27.7,30.7,812.3,1017,1.2989
28.2,30.7,812.3,1017,1.299
28.3,30.7,812.3,1016,1.2989
28.4,30.7,812.3,1016,1.299
28.8,30.7,812.1,1015,1.2989
28.9,30.7,812.1,1015,1.299
29,30.7,812.6,1013,1.2988
29.1,30.7,812.6,1013,1.299
29.1,30.7,812.1,1010,1.2988
28.9,30.7,812.1,1010,1.299
29,30.7,812.3,1011,1.2988
29.2,30.7,812.3,1011,1.299
29.5,30.7,812.2,1010,1.2988
29.7,30.7,812.2,1010,1.299
29.8,30.7,812.1,1006,1.2988
30.2,30.7,812.1,1006,1.2989
30.1,30.7,812.1,1010,1.2988
29.2,30.7,812.1,1010,1.2989
28.3,30.7,812.3,1005,1.2988
27.6,30.7,812.3,1005,1.2989
26.9,30.7,813,1009,1.2988
26.8,30.7,813,1009,1.2989
26.8,30.7,812.7,1006,1.2988
26.6,30.7,812.7,1006,1.2989
26.4,30.7,812.5,1007,1.2988
